week_start,bandwidth-rtc,@bandwidth/bw-webrtc-sdk,bandwidth-sdk
2023-07-10,,104,
2023-07-17,,12,
2023-07-24,,5,
2023-07-31,,190,
2023-08-07,,33,
2023-08-14,,32,
2023-08-21,,10,
2023-08-28,,40,
2023-09-04,,28,
2023-09-11,,37,
2023-09-18,,29,
2023-09-25,,24,
2023-10-02,,59,
2023-10-09,,5,
2023-10-16,,20,
2023-10-23,,2,
2023-10-30,,5,
2023-11-06,,12,
2023-11-13,,6,
2023-11-20,,6,
2023-11-27,,1,
2023-12-04,,8,
2023-12-11,,2,54
2023-12-18,,1,7
2023-12-25,,6,3
2024-01-01,,7,1
2024-01-08,,4,64
2024-01-15,,7,69
2024-01-22,,2,2
2024-01-29,,5,0
2024-02-05,,2,7
2024-02-12,,0,4
2024-02-19,,3,70
2024-02-26,,1,33
2024-03-04,,0,107
2024-03-11,,3,84
2024-03-18,,0,141
2024-03-25,,13,172
2024-04-01,,0,245
2024-04-08,,1,81
2024-04-15,,1,165
2024-04-22,,5,225
2024-04-29,,7,169
2024-05-06,,2,176
2024-05-13,,0,137
2024-05-20,,4,297
2024-05-27,,4,147
2024-06-03,,2,202
2024-06-10,,3,342
2024-06-17,,7,163
2024-06-24,,5,272
2024-07-01,,7,345
2024-07-08,,27,298
2024-07-15,,7,296
2024-07-22,,14,713
2024-07-29,,11,393
2024-08-05,,4,263
2024-08-12,,78,436
2024-08-19,,14,499
2024-08-26,,6,411
2024-09-02,,19,441
2024-09-09,,32,353
2024-09-16,,11,495
2024-09-23,,12,481
2024-09-30,,17,393
2024-10-07,,20,462
2024-10-14,,24,893
2024-10-21,,27,811
2024-10-28,,17,661
2024-11-04,,35,645
2024-11-11,,24,500
2024-11-18,,34,430
2024-11-25,,14,773
2024-12-02,,98,913
2024-12-09,,81,779
2024-12-16,,55,762
2024-12-23,,129,429
2024-12-30,,30,413
2025-01-06,,28,464
2025-01-13,,86,713
2025-01-20,,71,758
2025-01-27,,71,630
2025-02-03,,66,662
2025-02-10,,55,396
2025-02-17,,61,569
2025-02-24,,83,612
2025-03-03,,71,794
2025-03-10,,116,668
2025-03-17,,130,619
2025-03-24,,88,718
2025-03-31,,155,702
2025-04-07,,270,832
2025-04-14,,700,1035
2025-04-21,,1060,1272
2025-04-28,,512,842
2025-05-05,,837,906
2025-05-12,,1042,1010
2025-05-19,,638,911
2025-05-26,,862,938
2025-06-02,,942,929
2025-06-09,,872,740
2025-06-16,,759,935
2025-06-23,,1260,933
2025-06-30,,809,898
2025-07-07,,655,1236
2025-07-14,,807,1171
2025-07-21,,1387,1325
2025-07-28,,1093,1425
2025-08-04,,1284,1504
2025-08-11,,1145,1353
2025-08-18,,1769,1508
2025-08-25,,1044,1296
2025-09-01,,1125,1353
2025-09-08,,764,1883
2025-09-15,,1165,2004
2025-09-22,,1089,2918
2025-09-29,,598,2623
2025-10-06,,3558,2669
2025-10-13,,2433,2404
2025-10-20,,3646,1954
2025-10-27,,3050,2801
2025-11-03,,3312,2990
2025-11-10,,4466,3654
2025-11-17,,8506,3757
2025-11-24,,6357,2661
2025-12-01,,5324,3510
2025-12-08,,5180,4601
2025-12-15,,4599,5012
2025-12-22,,1978,1969
2025-12-29,,1961,3055
2026-01-05,,4013,4431
2026-01-12,245,5065,4829
2026-01-19,41,3957,6456
2026-01-26,18,4655,7254
2026-02-02,9,3986,7548
2026-02-09,4,4774,13517
2026-02-16,4,4312,13946
2026-02-23,6,3214,16665
2026-03-02,6,5899,16094
2026-03-09,63,5685,8303
2026-03-16,16,5421,5858
2026-03-23,62,5070,3684
2026-03-30,84,4944,3712
2026-04-06,40,6020,4621
2026-04-13,154,5597,5638
2026-04-20,163,4939,4842
2026-04-27,97,3622,5560
2026-05-04,69,1445,5789
2026-05-11,88,4644,5679
2026-05-18,87,5467,5166
2026-05-25,165,4909,6351
2026-06-01,117,6281,6214
2026-06-08,95,4338,6148
