week_start,livekit-client,@livekit/components-react,@livekit/react-native,@livekit/agents,@livekit/agents-plugin-silero
2021-01-18,0,,,,
2021-01-25,286,,,,
2021-02-01,261,,,,
2021-02-08,289,,,,
2021-02-15,411,,,,
2021-02-22,132,,,,
2021-03-01,154,,,,
2021-03-08,359,,,,
2021-03-15,433,,,,
2021-03-22,115,,,,
2021-03-29,50,,,,
2021-04-05,204,,,,
2021-04-12,62,,,,
2021-04-19,138,,,,
2021-04-26,107,,,,
2021-05-03,77,,,,
2021-05-10,126,,,,
2021-05-17,203,,,,
2021-05-24,143,,,,
2021-05-31,57,,,,
2021-06-07,103,,,,
2021-06-14,229,,,,
2021-06-21,156,,,,
2021-06-28,475,,,,
2021-07-05,296,,,,
2021-07-12,214,,,,
2021-07-19,154,,,,
2021-07-26,182,,,,
2021-08-02,147,,,,
2021-08-09,539,,,,
2021-08-16,99,,,,
2021-08-23,310,,,,
2021-08-30,433,,,,
2021-09-06,519,,,,
2021-09-13,162,,,,
2021-09-20,291,,,,
2021-09-27,366,,,,
2021-10-04,272,,,,
2021-10-11,243,,,,
2021-10-18,469,,,,
2021-10-25,486,,,,
2021-11-01,396,,,,
2021-11-08,542,,,,
2021-11-15,390,,,,
2021-11-22,252,,,,
2021-11-29,529,,,,
2021-12-06,565,,,,
2021-12-13,475,,,,
2021-12-20,478,,,,
2021-12-27,535,,,,
2022-01-03,668,,,,
2022-01-10,834,,,,
2022-01-17,637,,,,
2022-01-24,751,,,,
2022-01-31,857,,,,
2022-02-07,1042,,,,
2022-02-14,852,,,,
2022-02-21,1043,,,,
2022-02-28,1458,,,,
2022-03-07,1478,,,,
2022-03-14,2159,,,,
2022-03-21,2508,,,,
2022-03-28,1968,,,,
2022-04-04,1503,,,,
2022-04-11,3071,,,,
2022-04-18,3477,,,,
2022-04-25,3822,,,,
2022-05-02,2311,,,,
2022-05-09,2625,,,,
2022-05-16,2261,,,,
2022-05-23,2136,,,,
2022-05-30,3059,,,,
2022-06-06,3117,,,,
