week_start,twilio-video,@twilio/voice-sdk,@twilio/video-react-native-sdk,@twilio/video-processors,twilio
2015-01-05,,,,,0
2015-01-12,,,,,0
2015-01-19,,,,,0
2015-01-26,,,,,0
2015-02-02,,,,,0
2015-02-09,,,,,0
2015-02-16,,,,,0
2015-02-23,,,,,3364
2015-03-02,,,,,8785
2015-03-09,,,,,8477
2015-03-16,,,,,9092
2015-03-23,,,,,9517
2015-03-30,,,,,9185
2015-04-06,,,,,14667
2015-04-13,,,,,11830
2015-04-20,,,,,9330
2015-04-27,,,,,9757
2015-05-04,,,,,9887
2015-05-11,,,,,8618
2015-05-18,,,,,9765
2015-05-25,,,,,9314
2015-06-01,,,,,10542
2015-06-08,,,,,9570
2015-06-15,,,,,9368
2015-06-22,,,,,10594
2015-06-29,,,,,8875
2015-07-06,,,,,9998
2015-07-13,,,,,10083
2015-07-20,,,,,11716
2015-07-27,,,,,10883
2015-08-03,,,,,11328
2015-08-10,,,,,12656
2015-08-17,,,,,13128
2015-08-24,,,,,12480
2015-08-31,,,,,11260
2015-09-07,,,,,13011
2015-09-14,,,,,14025
2015-09-21,,,,,14083
2015-09-28,,,,,15401
2015-10-05,,,,,21890
2015-10-12,,,,,19527
2015-10-19,,,,,17033
2015-10-26,,,,,14293
2015-11-02,,,,,15730
2015-11-09,,,,,15209
2015-11-16,,,,,20318
2015-11-23,,,,,15977
2015-11-30,,,,,24295
2015-12-07,,,,,28779
2015-12-14,,,,,36395
2015-12-21,,,,,10614
2015-12-28,,,,,9444
2016-01-04,,,,,14225
2016-01-11,,,,,14846
2016-01-18,,,,,16377
2016-01-25,,,,,20304
2016-02-01,,,,,19834
2016-02-08,,,,,18756
2016-02-15,,,,,17974
2016-02-22,,,,,20845
2016-02-29,,,,,19608
2016-03-07,,,,,19596
2016-03-14,,,,,20885
2016-03-21,,,,,20947
2016-03-28,,,,,21237
2016-04-04,,,,,19278
2016-04-11,,,,,19575
2016-04-18,,,,,20505
2016-04-25,,,,,19954
2016-05-02,,,,,21444
2016-05-09,,,,,21206
2016-05-16,,,,,23866
2016-05-23,,,,,25454
2016-05-30,,,,,27677
2016-06-06,,,,,39152
2016-06-13,,,,,31203
2016-06-20,,,,,25217
2016-06-27,,,,,24263
2016-07-04,,,,,23586
2016-07-11,,,,,23342
2016-07-18,,,,,23756
2016-07-25,,,,,23705
2016-08-01,,,,,22931
2016-08-08,,,,,25597
2016-08-15,,,,,25190
2016-08-22,,,,,25351
2016-08-29,,,,,28536
2016-09-05,,,,,26604
2016-09-12,,,,,29739
2016-09-19,,,,,31542
2016-09-26,,,,,28260
2016-10-03,34,,,,27932
2016-10-10,58,,,,33939
2016-10-17,125,,,,39254
2016-10-24,137,,,,32644
2016-10-31,107,,,,30693
2016-11-07,95,,,,30193
2016-11-14,200,,,,31789
2016-11-21,86,,,,25160
2016-11-28,803,,,,29084
2016-12-05,649,,,,31394
2016-12-12,463,,,,30503
2016-12-19,468,,,,26129
2016-12-26,192,,,,22149
2017-01-02,475,,,,33996
2017-01-09,497,,,,30767
2017-01-16,546,,,,30509
2017-01-23,614,,,,32110
2017-01-30,415,,,,37276
2017-02-06,527,,,,36857
2017-02-13,527,,,,39863
2017-02-20,492,,,,43167
2017-02-27,354,,,,45372
2017-03-06,405,,,,51828
2017-03-13,507,,,,46689
2017-03-20,668,,,,38935
2017-03-27,619,,,,37058
2017-04-03,594,,,,38579
2017-04-10,623,,,,35190
2017-04-17,699,,,,35014
2017-04-24,758,,,,38810
2017-05-01,505,,,,35983
2017-05-08,554,,,,36304
2017-05-15,620,,,,38963
2017-05-22,535,,,,43000
2017-05-29,611,,,,36677
2017-06-05,871,,,,39527
2017-06-12,680,,,,45857
2017-06-19,684,,,,46734
2017-06-26,630,,,,43632
2017-07-03,967,,,,39412
2017-07-10,879,,,,48594
2017-07-17,1426,,,,44184
2017-07-24,990,,,,50519
2017-07-31,1133,,,,40249
2017-08-07,1090,,,,43505
2017-08-14,1275,,,,46978
2017-08-21,1245,,,,45588
2017-08-28,1117,,,,45607
2017-09-04,1324,,,,49330
2017-09-11,1416,,,,51204
2017-09-18,1306,,,,51687
2017-09-25,1321,,,,51215
2017-10-02,1543,,,,52598
2017-10-09,1973,,,,53208
2017-10-16,1323,,,,54192
2017-10-23,1646,,,,56717
2017-10-30,1234,,,,57184
2017-11-06,1194,,,,61558
2017-11-13,1225,,,,61972
2017-11-20,1435,,,,51782
2017-11-27,1745,,,,63205
2017-12-04,1872,,,,61797
2017-12-11,1954,,,,64425
2017-12-18,1611,,,,65367
2017-12-25,588,,,,30707
2018-01-01,1170,,,,44749
2018-01-08,1868,,,,44910
2018-01-15,1561,,,,57465
2018-01-22,1484,,,,62762
2018-01-29,1619,,,,64062
2018-02-05,2183,,,,63982
2018-02-12,2444,,,,64851
2018-02-19,1889,,,,61474
2018-02-26,2178,,,,68531
2018-03-05,1988,,,,69902
2018-03-12,2185,,,,85058
2018-03-19,2345,,,,79115
2018-03-26,2157,,,,70538
2018-04-02,1974,,,,73917
2018-04-09,2339,,,,78503
2018-04-16,2383,,,,81101
2018-04-23,3255,,,,88160
2018-04-30,2823,,,,78814
2018-05-07,2485,,,,80787
2018-05-14,2573,,,,85341
2018-05-21,2352,,,,74876
2018-05-28,2787,,,,64241
2018-06-04,3200,,,,89623
2018-06-11,3261,,,,93864
2018-06-18,3172,,,,98311
2018-06-25,3359,,,,91811
2018-07-02,3366,,,,87237
2018-07-09,3544,,,,92065
2018-07-16,4124,,,,95202
2018-07-23,4535,,,,92204
2018-07-30,5176,,,,97654
2018-08-06,5636,,,,102615
2018-08-13,4917,,,,90930
2018-08-20,5465,,,,99649
2018-08-27,5789,,,,94535
2018-09-03,4939,,,,89177
2018-09-10,6334,,,,107083
2018-09-17,8072,,,,107713
2018-09-24,7799,,,,122781
2018-10-01,8452,,,,128877
2018-10-08,7540,,,,131109
2018-10-15,6121,,,,127536
2018-10-22,6632,,,,132824
2018-10-29,7628,,,,131617
2018-11-05,9284,,,,133740
2018-11-12,8131,,,,134092
2018-11-19,8710,,,,120096
2018-11-26,11449,,,,140288
2018-12-03,11934,,,,147158
2018-12-10,8674,,,,142278
2018-12-17,11495,,,,138756
2018-12-24,2367,,,,83165
2018-12-31,3053,,,,111120
2019-01-07,8821,,,,147362
2019-01-14,12957,,,,134587
2019-01-21,10302,,,,133186
2019-01-28,14250,,,,156157
2019-02-04,11115,,,,153062
2019-02-11,11244,,,,158509
2019-02-18,9210,,,,161129
2019-02-25,13533,,,,174997
2019-03-04,12301,,,,175132
2019-03-11,10524,,,,186527
2019-03-18,11834,,,,167716
2019-03-25,10911,,,,192087
2019-04-01,10587,,,,184794
2019-04-08,10466,,,,188904
2019-04-15,8993,,,,191450
2019-04-22,8963,,,,191683
2019-04-29,8056,,,,181536
2019-05-06,10347,,,,185011
2019-05-13,10348,,,,191928
2019-05-20,11303,,,,192884
2019-05-27,10652,,,,184375
2019-06-03,11483,,,,210854
2019-06-10,11422,,,,196737
2019-06-17,11016,,,,200403
2019-06-24,11656,,,,202747
2019-07-01,11920,,,,182437
2019-07-08,12377,,,,213512
2019-07-15,12376,,,,210019
2019-07-22,12446,,,,216394
2019-07-29,11263,,,,213224
2019-08-05,11618,,,,212591
2019-08-12,11167,,,,225711
2019-08-19,12604,,,,225644
2019-08-26,12446,,,,229816
2019-09-02,13889,,,,217989
2019-09-09,13516,,,,227538
2019-09-16,12510,,,,229104
2019-09-23,12753,,,,233347
2019-09-30,14137,,,,229125
2019-10-07,13413,,,,244595
2019-10-14,14418,,,,232862
2019-10-21,14746,,,,235843
2019-10-28,14863,,,,238056
2019-11-04,17258,,,,257638
2019-11-11,14941,,,,267355
2019-11-18,17321,,,,289520
2019-11-25,17129,,,,259519
2019-12-02,26348,,,,302421
2019-12-09,19766,,,,285653
2019-12-16,19015,,,,286971
2019-12-23,8027,,,,157768
2019-12-30,10332,,,,169137
2020-01-06,16353,,,,258859
2020-01-13,19851,,,,287119
2020-01-20,17232,,,,261776
2020-01-27,19603,,,,274162
2020-02-03,19896,,,,288238
2020-02-10,23710,,,,309009
2020-02-17,24035,,,,289578
2020-02-24,22428,,,,290590
2020-03-02,22838,,,,301581
2020-03-09,24617,,,,329304
2020-03-16,29464,,,,329567
2020-03-23,36388,,,,344040
2020-03-30,37884,,,,342241
2020-04-06,33192,,,,313923
2020-04-13,33601,,,,295424
2020-04-20,39343,,,,327825
2020-04-27,37818,,,,326701
2020-05-04,39373,,,,325016
2020-05-11,44888,,,,334212
2020-05-18,45203,,,,311089
2020-05-25,42678,,,,312139
2020-06-01,45231,,,,324635
2020-06-08,50885,,,,355777
2020-06-15,57466,,,,357171
2020-06-22,39502,,,,285499
2020-06-29,45710,,,,330183
2020-07-06,51597,,,,347208
2020-07-13,60802,,,,377666
2020-07-20,69009,,,,360506
2020-07-27,58108,,,,371701
2020-08-03,51630,,,,365569
2020-08-10,55617,,,,370528
2020-08-17,65234,,,,390829
2020-08-24,61734,,,,412795
2020-08-31,53255,,,,390842
2020-09-07,42256,,,,353104
2020-09-14,51979,,,,413275
2020-09-21,58983,,,,435003
2020-09-28,60465,,,,445432
2020-10-05,62131,,,,460077
2020-10-12,61985,,,,444188
2020-10-19,54308,,,,427915
2020-10-26,54957,,,,413414
2020-11-02,61122,,,,440996
2020-11-09,70330,,,,455710
2020-11-16,64720,,,,456434
2020-11-23,48205,,,,381699
2020-11-30,56265,,,,437142
2020-12-07,55193,,,,455289
2020-12-14,55221,,,,449854
2020-12-21,31684,,,,285105
2020-12-28,23264,,,,231439
2021-01-04,48276,,,,379185
2021-01-11,55606,,,,460974
2021-01-18,49123,,,,463908
2021-01-25,70643,,,,515678
2021-02-01,77770,,,,499351
2021-02-08,72931,,,,490139
2021-02-15,61483,,,,480751
2021-02-22,64149,,,,502492
2021-03-01,67779,,,,527772
2021-03-08,70715,,,,475663
2021-03-15,63473,,,,472734
2021-03-22,66650,,,,469995
2021-03-29,67919,,,,486218
2021-04-05,68762,,,,451902
2021-04-12,66652,,,,477341
2021-04-19,70750,,,,477098
2021-04-26,67610,,,,511935
2021-05-03,70737,,,,482714
2021-05-10,61784,,,,490054
2021-05-17,59948,,,,477341
2021-05-24,56444,,,,481626
2021-05-31,54286,,,,446251
2021-06-07,58792,,,,477318
2021-06-14,57227,,,2,470869
2021-06-21,63678,,,15,494223
2021-06-28,61472,,,161,477401
2021-07-05,56714,18,,166,464006
2021-07-12,61103,194,,521,481871
2021-07-19,60631,422,,199,496630
2021-07-26,59782,400,,812,510640
2021-08-02,56338,649,,1519,515461
2021-08-09,61048,798,,1913,525427
2021-08-16,67170,953,,2302,516410
2021-08-23,76134,1996,,2425,534394
2021-08-30,78528,1695,,1479,549012
2021-09-06,63898,1612,,1336,513686
2021-09-13,73350,2071,,1345,536932
2021-09-20,74814,2551,,1403,563038
2021-09-27,71926,3229,,2372,570384
2021-10-04,76440,3845,,2623,610548
2021-10-11,75324,3668,,2626,587126
2021-10-18,88259,4686,,2800,629041
2021-10-25,91480,5446,,2984,612578
2021-11-01,85580,5461,,3133,575965
2021-11-08,89735,5507,,3245,607350
2021-11-15,89977,5445,,4787,652071
2021-11-22,67806,4955,,3684,548309
2021-11-29,87185,6962,,4605,640644
2021-12-06,85170,7976,,5033,631843
2021-12-13,92648,8681,,5526,652806
2021-12-20,62194,7677,,4654,527924
2021-12-27,42452,5414,,3467,387583
2022-01-03,77732,9078,,4874,569829
2022-01-10,91445,10972,,6524,669690
2022-01-17,89788,11474,,5977,690898
2022-01-24,93337,11832,,6120,708628
2022-01-31,95630,10285,,6880,724164
2022-02-07,96742,11053,,6937,741596
2022-02-14,102686,11599,,7183,755594
2022-02-21,93515,12557,,7067,725037
2022-02-28,97609,14039,,6925,747213
2022-03-07,104715,16147,,8624,761634
2022-03-14,103991,15207,,9086,757546
2022-03-21,104242,14702,,11326,791553
2022-03-28,109869,16562,,8516,797747
2022-04-04,113333,15284,,9569,813020
2022-04-11,99313,14623,,8444,740266
2022-04-18,98576,14859,,9311,751566
2022-04-25,113305,16503,,9365,782158
2022-05-02,103613,15013,,8642,717131
2022-05-09,106614,19778,,9862,767141
2022-05-16,105647,22037,,10460,791465
2022-05-23,98858,20759,,9798,804563
2022-05-30,95440,20011,,9639,783147
2022-06-06,103887,21029,,10260,816588
2022-06-13,116662,21657,,11194,809647
2022-06-20,106142,20847,,7807,804421
2022-06-27,115047,24371,,9284,835154
2022-07-04,105238,22733,,8472,799585
2022-07-11,155070,23746,,9242,841978
2022-07-18,130886,21043,,8166,723364
2022-07-25,145854,24201,,9788,885144
2022-08-01,128115,25127,,10362,870939
2022-08-08,149684,25775,,10487,848489
2022-08-15,135828,23601,,10358,842014
2022-08-22,134542,25950,,10276,884681
2022-08-29,113284,26383,,9753,893669
2022-09-05,104859,24513,,9424,848836
2022-09-12,113818,26433,,9332,934342
2022-09-19,110923,26391,,8679,905769
2022-09-26,108648,27956,,10008,925524
2022-10-03,106584,27785,,11898,862341
2022-10-10,97337,30215,,12767,877466
2022-10-17,101421,30008,,11167,911607
2022-10-24,119240,28828,,9868,904653
2022-10-31,116566,33510,,11268,941833
2022-11-07,111208,33872,,10413,928482
2022-11-14,112101,36801,,11927,974049
2022-11-21,94548,30107,,9910,854039
2022-11-28,122611,37765,,13209,957554
2022-12-05,105402,37998,,10017,938033
2022-12-12,113111,38781,,9901,960670
2022-12-19,94506,28790,,8546,849404
2022-12-26,58068,17399,,4762,561271
2023-01-02,88679,29477,,8759,824529
2023-01-09,107908,36989,,9934,994869
2023-01-16,101450,33924,,9178,932780
2023-01-23,99816,34629,,9999,953832
2023-01-30,108745,39231,,11804,1022193
2023-02-06,112777,38326,,11684,1045402
2023-02-13,116081,39303,,12255,1011494
2023-02-20,120344,39314,,13596,1018885
2023-02-27,120579,43057,,12826,1058411
2023-03-06,120624,42545,,13275,1021943
2023-03-13,112877,44674,,13376,1055964
2023-03-20,143313,44692,,14731,1065381
2023-03-27,155228,47207,,15828,1096634
2023-04-03,114892,43875,,16757,1032988
2023-04-10,146410,40689,,19906,1049819
2023-04-17,142564,43063,,14547,1051867
2023-04-24,112933,46611,,14179,1052275
2023-05-01,101266,39334,,10870,977651
2023-05-08,109330,42506,,12995,986689
2023-05-15,103457,45571,,12632,1010277
2023-05-22,92179,43758,,11805,983561
2023-05-29,89609,37806,,11812,932019
2023-06-05,94889,41280,,12209,978710
2023-06-12,96668,42882,,13962,1019117
2023-06-19,94570,47368,,12838,976903
2023-06-26,106951,36136,,12819,1047277
2023-07-03,101226,34603,,14726,955427
2023-07-10,117839,38302,,29580,1080214
2023-07-17,117461,37793,,25497,1097287
2023-07-24,122634,38763,,24279,1054852
2023-07-31,120834,39299,,31710,1078552
2023-08-07,118074,37238,,30484,1074363
2023-08-14,117308,35862,,31404,1094726
2023-08-21,114885,37642,,32935,1154651
2023-08-28,107712,34936,,37807,1124550
2023-09-04,100735,33827,,29025,1067016
2023-09-11,110042,36354,,27931,1177811
2023-09-18,107231,37386,,19595,1142857
2023-09-25,104445,36912,,19272,1107529
2023-10-02,99147,38213,,19381,1027041
2023-10-09,99986,37993,,18506,1051907
2023-10-16,106233,40547,,21042,1115255
2023-10-23,101647,40437,,19783,1093329
2023-10-30,71678,28401,,12986,771974
2023-11-06,104005,42430,,19495,1100163
2023-11-13,103208,43081,,21071,1084163
2023-11-20,93025,37869,,16837,928882
2023-11-27,104085,45386,,23094,1098472
2023-12-04,102810,42815,,24490,1083762
2023-12-11,89259,43248,,24176,1102782
2023-12-18,76394,35699,,20245,922837
2023-12-25,44346,18972,,10076,525017
2024-01-01,64658,34992,,15825,803177
2024-01-08,88186,48864,,18111,1016607
2024-01-15,86246,45920,,22268,1046819
2024-01-22,92002,48314,,23919,1121621
2024-01-29,89831,52944,,24555,1136144
2024-02-05,90024,50701,,24137,1118031
2024-02-12,88794,48770,,28292,1073235
2024-02-19,92486,47798,,24921,1119105
2024-02-26,106603,50284,,27191,1212612
2024-03-04,100524,50848,,26506,1177411
2024-03-11,98947,50878,,24370,1199692
2024-03-18,97335,55823,,23928,1229021
2024-03-25,89115,45584,,21912,1061789
2024-04-01,98191,55496,,21635,1168836
2024-04-08,89721,59406,,20471,1142335
2024-04-15,91275,62984,,20151,1184101
2024-04-22,89652,63019,,19822,1181798
2024-04-29,74554,61885,,18063,1149380
2024-05-06,80244,59617,,18410,1217353
2024-05-13,85670,60767,,18918,1221448
2024-05-20,84539,63317,,19526,1167879
2024-05-27,81308,60644,,17728,1089954
2024-06-03,86303,66716,,18162,1183866
2024-06-10,86159,67354,,21041,1194863
2024-06-17,84063,63211,,18680,1127600
2024-06-24,87609,67599,,18936,1248452
2024-07-01,74475,59839,,12657,1109127
2024-07-08,89059,72384,,17507,1204064
2024-07-15,86722,74027,,17455,1218272
2024-07-22,86746,71323,,15594,1206933
2024-07-29,88719,72479,,16258,1208374
2024-08-05,83562,71905,,15019,1246055
2024-08-12,77448,70463,,22304,1198362
2024-08-19,81801,70969,,22476,1244189
2024-08-26,76704,74849,,18603,1247031
2024-09-02,74271,70130,,17727,1229440
2024-09-09,85673,77128,,19306,1310577
2024-09-16,79319,77568,,15692,1247811
2024-09-23,81203,82302,,16578,1270213
2024-09-30,78412,79613,,13948,1225647
2024-10-07,82817,91061,,15054,1267052
2024-10-14,80370,84253,,16004,1213790
2024-10-21,83973,84357,,15735,1271478
2024-10-28,83276,88782,,17926,1210351
2024-11-04,89701,91940,,18170,1248669
