week_start,agora-rtc-sdk-ng,agora-rtc-sdk,rtc-sdk-total,agora-rtm-sdk,agora-rtc-react,react-native-agora,agora-agent-server-sdk,agora-agent-client-toolkit,agora-agent-uikit,agora-conversational-ai-denoiser
2017-06-12,,,,,,63,,,,
2017-06-19,,,,,,44,,,,
2017-06-26,,,,,,102,,,,
2017-07-03,,,,,,112,,,,
2017-07-10,,,,,,59,,,,
2017-07-17,,,,,,18,,,,
2017-07-24,,,,,,1,,,,
2017-07-31,,,,,,49,,,,
2017-08-07,,,,,,1,,,,
2017-08-14,,,,,,35,,,,
2017-08-21,,,,,,10,,,,
2017-08-28,,,,,,85,,,,
2017-09-04,,,,,,2,,,,
2017-09-11,,,,,,6,,,,
2017-09-18,,,,,,19,,,,
2017-09-25,,,,,,11,,,,
2017-10-02,,,,,,19,,,,
2017-10-09,,,,,,31,,,,
2017-10-16,,,,,,104,,,,
2017-10-23,,,,,,9,,,,
2017-10-30,,,,,,16,,,,
2017-11-06,,,,,,18,,,,
2017-11-13,,,,,,16,,,,
2017-11-20,,,,,,228,,,,
2017-11-27,,,,,,91,,,,
2017-12-04,,,,,,201,,,,
2017-12-11,,,,,,10,,,,
2017-12-18,,,,,,88,,,,
2017-12-25,,,,,,24,,,,
2018-01-01,,,,,,54,,,,
2018-01-08,,,,,,30,,,,
2018-01-15,,,,,,50,,,,
2018-01-22,,,,,,37,,,,
2018-01-29,,,,,,46,,,,
2018-02-05,,,,,,32,,,,
2018-02-12,,,,,,19,,,,
2018-02-19,,,,,,44,,,,
2018-02-26,,,,,,137,,,,
2018-03-05,,,,,,34,,,,
2018-03-12,,,,,,59,,,,
2018-03-19,,,,,,41,,,,
2018-03-26,,,,,,22,,,,
2018-04-02,,,,,,37,,,,
2018-04-09,,21,21,,,31,,,,
2018-04-16,,4,4,,,25,,,,
2018-04-23,,5,5,,,22,,,,
2018-04-30,,4,4,,,11,,,,
2018-05-07,,5,5,,,31,,,,
2018-05-14,,12,12,,,44,,,,
2018-05-21,,45,45,,,27,,,,
2018-05-28,,29,29,,,5,,,,
2018-06-04,,98,98,,,11,,,,
2018-06-11,,42,42,,,13,,,,
2018-06-18,,18,18,,,34,,,,
2018-06-25,,27,27,,,40,,,,
2018-07-02,,64,64,,,33,,,,
2018-07-09,,14,14,,,18,,,,
2018-07-16,,118,118,,,71,,,,
2018-07-23,,77,77,,,6,,,,
2018-07-30,,108,108,,,6,,,,
2018-08-06,,101,101,,,20,,,,
2018-08-13,,71,71,,,11,,,,
2018-08-20,,118,118,,,48,,,,
2018-08-27,,120,120,,,18,,,,
2018-09-03,,135,135,,,8,,,,
2018-09-10,,335,335,,,7,,,,
2018-09-17,,205,205,,,11,,,,
2018-09-24,,137,137,,,65,,,,
2018-10-01,,94,94,,,29,,,,
2018-10-08,,234,234,,,79,,,,
2018-10-15,,480,480,,,36,,,,
2018-10-22,,224,224,,,18,,,,
2018-10-29,,321,321,,,21,,,,
2018-11-05,,498,498,,,20,,,,
2018-11-12,,412,412,,,28,,,,
2018-11-19,,472,472,,,212,,,,
2018-11-26,,256,256,,,45,,,,
2018-12-03,,349,349,,,125,,,,
2018-12-10,,336,336,,,27,,,,
2018-12-17,,483,483,,,38,,,,
2018-12-24,,187,187,,,118,,,,
2018-12-31,,237,237,,,46,,,,
2019-01-07,,553,553,,,81,,,,
2019-01-14,,440,440,,,32,,,,
2019-01-21,,455,455,,,51,,,,
2019-01-28,,459,459,,,55,,,,
2019-02-04,,534,534,,,76,,,,
2019-02-11,,462,462,,,140,,,,
2019-02-18,,455,455,,,385,,,,
2019-02-25,,749,749,,,171,,,,
2019-03-04,,761,761,,,59,,,,
2019-03-11,,481,481,,,78,,,,
2019-03-18,,486,486,,,21,,,,
2019-03-25,,711,711,,,177,,,,
2019-04-01,,701,701,,,231,,,,
2019-04-08,,583,583,,,81,,,,
2019-04-15,,538,538,,,237,,,,
2019-04-22,,553,553,,,110,,,,
2019-04-29,,522,522,,,51,,,,
2019-05-06,,744,744,,,160,,,,
2019-05-13,,762,762,,,174,,,,
2019-05-20,,633,633,,,62,,,,
2019-05-27,,711,711,,,54,,,,
2019-06-03,,726,726,,,65,,,,
2019-06-10,,620,620,,,81,,,,
2019-06-17,,618,618,,,161,,,,
2019-06-24,,1113,1113,,,135,,,,
2019-07-01,,947,947,,,177,,,,
2019-07-08,,813,813,,,112,,,,
2019-07-15,,795,795,,,169,,,,
