week_start,agora_token_builder_downloads,agora_python_server_sdk_downloads,agora_python_sdk_downloads,agora_realtime_ai_api_v1_downloads
2020-10-26,0,0,706,0
2020-11-02,0,0,205,0
2020-11-09,0,0,146,0
2020-11-16,0,0,165,0
2020-11-23,0,0,717,0
2020-11-30,0,0,191,0
2020-12-07,0,0,175,0
2020-12-14,0,0,125,0
2020-12-21,0,0,89,0
2020-12-28,0,0,94,0
2021-01-04,0,0,104,0
2021-01-11,0,0,178,0
2021-01-18,0,0,102,0
2021-01-25,0,0,137,0
2021-02-01,0,0,133,0
2021-02-08,0,0,77,0
2021-02-15,0,0,1931,0
2021-02-22,0,0,1819,0
2021-03-01,0,0,828,0
2021-03-08,0,0,666,0
2021-03-15,0,0,1591,0
2021-03-22,0,0,850,0
2021-03-29,0,0,520,0
2021-04-05,0,0,511,0
2021-04-12,0,0,475,0
2021-04-19,0,0,372,0
2021-04-26,0,0,392,0
2021-05-03,0,0,261,0
2021-05-10,0,0,527,0
2021-05-17,0,0,430,0
2021-05-24,0,0,258,0
2021-05-31,0,0,562,0
2021-06-07,0,0,474,0
2021-06-14,0,0,585,0
2021-06-21,0,0,342,0
2021-06-28,0,0,480,0
2021-07-05,0,0,467,0
2021-07-12,0,0,385,0
2021-07-19,0,0,566,0
2021-07-26,0,0,393,0
2021-08-02,0,0,399,0
2021-08-09,0,0,270,0
2021-08-16,0,0,221,0
2021-08-23,0,0,350,0
2021-08-30,0,0,652,0
2021-09-06,0,0,297,0
2021-09-13,0,0,534,0
2021-09-20,0,0,218,0
2021-09-27,0,0,178,0
2021-10-04,0,0,124,0
2021-10-11,0,0,547,0
2021-10-18,0,0,303,0
2021-10-25,0,0,511,0
2021-11-01,0,0,300,0
2021-11-08,0,0,173,0
2021-11-15,0,0,298,0
2021-11-22,0,0,327,0
2021-11-29,136,0,365,0
2021-12-06,63,0,306,0
2021-12-13,1050,0,394,0
2021-12-20,5,0,153,0
2021-12-27,154,0,137,0
2022-01-03,88,0,333,0
2022-01-10,119,0,262,0
2022-01-17,214,0,388,0
2022-01-24,185,0,159,0
2022-01-31,179,0,311,0
2022-02-07,138,0,238,0
2022-02-14,108,0,248,0
2022-02-21,148,0,526,0
2022-02-28,216,0,1160,0
2022-03-07,234,0,703,0
2022-03-14,196,0,522,0
2022-03-21,239,0,460,0
2022-03-28,205,0,323,0
2022-04-04,266,0,378,0
2022-04-11,278,0,212,0
2022-04-18,211,0,400,0
2022-04-25,393,0,178,0
2022-05-02,250,0,193,0
2022-05-09,222,0,117,0
2022-05-16,775,0,156,0
2022-05-23,904,0,173,0
2022-05-30,294,0,213,0
2022-06-06,415,0,212,0
2022-06-13,367,0,245,0
2022-06-20,541,0,253,0
2022-06-27,352,0,135,0
2022-07-04,384,0,168,0
2022-07-11,546,0,259,0
2022-07-18,408,0,161,0
2022-07-25,386,0,141,0
2022-08-01,282,0,83,0
2022-08-08,350,0,173,0
2022-08-15,388,0,346,0
2022-08-22,477,0,295,0
2022-08-29,699,0,175,0
2022-09-05,789,0,171,0
2022-09-12,880,0,319,0
2022-09-19,747,0,151,0
2022-09-26,820,0,153,0
2022-10-03,662,0,148,0
2022-10-10,701,0,209,0
2022-10-17,570,0,96,0
2022-10-24,748,0,323,0
2022-10-31,577,0,264,0
2022-11-07,533,0,191,0
2022-11-14,593,0,280,0
2022-11-21,622,0,263,0
2022-11-28,766,0,204,0
2022-12-05,680,0,296,0
2022-12-12,508,0,138,0
2022-12-19,418,0,263,0
2022-12-26,355,0,67,0
2023-01-02,539,0,121,0
2023-01-09,955,0,137,0
2023-01-16,2025,0,172,0
2023-01-23,1171,0,204,0
2023-01-30,519,0,167,0
2023-02-06,802,0,231,0
2023-02-13,643,0,292,0
2023-02-20,800,0,271,0
2023-02-27,916,0,329,0
2023-03-06,911,0,183,0
2023-03-13,925,0,304,0
2023-03-20,782,0,171,0
2023-03-27,988,0,145,0
2023-04-03,1087,0,127,0
2023-04-10,1368,0,141,0
2023-04-17,1349,0,198,0
2023-04-24,1122,0,159,0
2023-05-01,804,0,169,0
2023-05-08,1109,0,205,0
2023-05-15,1483,0,264,0
2023-05-22,884,0,56,0
2023-05-29,1521,0,83,0
2023-06-05,903,0,179,0
2023-06-12,1330,0,270,0
2023-06-19,785,0,48,0
2023-06-26,971,0,104,0
2023-07-03,990,0,205,0
2023-07-10,850,0,189,0
2023-07-17,1046,0,202,0
2023-07-24,878,0,165,0
2023-07-31,806,0,230,0
