week_start,livekit,livekit-api,livekit-agents,livekit-plugins
2023-06-05,107,0,0,0
2023-06-12,20,0,0,0
2023-06-19,20,0,0,0
2023-06-26,91,0,0,0
2023-07-03,312,0,0,0
2023-07-10,116,0,0,0
2023-07-17,68,0,0,0
2023-07-24,53,0,0,0
2023-07-31,160,0,0,0
2023-08-07,577,0,0,0
2023-08-14,133,0,0,0
2023-08-21,654,0,0,0
2023-08-28,151,0,0,0
2023-09-04,1507,0,0,0
2023-09-11,382,0,0,0
2023-09-18,1977,0,0,0
2023-09-25,1090,0,0,0
2023-10-02,1821,0,0,0
2023-10-09,483,0,0,0
2023-10-16,301,0,0,0
2023-10-23,887,323,0,0
2023-10-30,1495,841,0,0
2023-11-06,630,160,0,0
2023-11-13,1417,816,508,0
2023-11-20,774,550,766,0
2023-11-27,1163,545,246,0
2023-12-04,1564,877,2641,0
2023-12-11,1875,1183,698,0
2023-12-18,2866,2263,920,0
2023-12-25,2427,2194,370,0
2024-01-01,2683,2295,463,0
2024-01-08,4632,3281,1170,0
2024-01-15,3173,2462,1065,0
2024-01-22,2815,2175,1264,0
2024-01-29,3522,2462,751,0
2024-02-05,4012,2984,939,0
2024-02-12,4596,3689,648,0
2024-02-19,4799,3674,1525,0
2024-02-26,4623,4026,1267,0
2024-03-04,4870,4370,1006,0
2024-03-11,4998,5257,1012,0
2024-03-18,4294,4831,741,0
2024-03-25,5545,6385,1234,0
2024-04-01,4500,4835,1659,0
2024-04-08,4023,4174,2041,0
2024-04-15,5015,4457,2045,0
2024-04-22,4124,4038,1158,0
2024-04-29,5384,4367,1742,0
2024-05-06,5186,5006,1715,0
2024-05-13,5710,5874,1803,0
2024-05-20,9660,11407,2246,0
2024-05-27,8138,10353,2611,0
2024-06-03,9653,11517,3359,0
2024-06-10,10382,12163,3815,0
2024-06-17,11330,13218,3704,0
2024-06-24,18383,16815,5621,0
2024-07-01,9146,8013,3197,0
2024-07-08,32357,18271,7482,0
2024-07-15,31476,24621,7571,0
2024-07-22,38634,34278,11362,0
2024-07-29,34983,31512,11137,0
2024-08-05,25727,27485,10146,0
2024-08-12,27342,37053,9349,0
2024-08-19,30952,41173,12511,0
2024-08-26,30364,47056,15508,0
2024-09-02,29392,50619,13962,0
2024-09-09,35200,60349,18217,0
2024-09-16,34168,43996,16747,0
2024-09-23,34792,42775,18160,0
2024-09-30,56032,65977,29728,0
2024-10-07,49801,71976,27112,0
2024-10-14,19818,37596,16177,0
2024-10-21,21624,30536,15269,0
2024-10-28,21564,39825,18661,0
2024-11-04,26559,58210,21689,0
2024-11-11,26291,46439,21285,0
2024-11-18,24591,53964,21555,0
2024-11-25,20127,38269,15999,0
2024-12-02,30387,55259,27437,0
2024-12-09,28239,53877,24156,0
2024-12-16,31984,53629,24775,0
2024-12-23,15719,20520,14350,0
2024-12-30,17691,26915,16680,0
2025-01-06,38612,56478,26889,0
2025-01-13,58524,64017,29781,0
2025-01-20,50301,52343,29076,0
2025-01-27,51648,56535,34270,0
2025-02-03,49456,61694,36163,0
2025-02-10,65423,91747,48293,0
2025-02-17,64534,85509,50939,0
2025-02-24,74943,95457,56569,0
2025-03-03,76329,91950,63656,0
2025-03-10,77448,93714,65594,0
2025-03-17,90947,93740,74951,0
2025-03-24,109691,107662,96787,0
2025-03-31,108340,108738,100536,0
2025-04-07,115099,107638,107346,0
2025-04-14,102642,98424,87710,0
2025-04-21,122211,117124,113901,0
2025-04-28,111942,115558,99556,0
2025-05-05,136615,149569,132328,0
2025-05-12,130148,130958,146928,0
2025-05-19,114933,118532,117910,0
2025-05-26,131313,138785,123242,0
2025-06-02,167054,189819,137831,0
2025-06-09,144410,167119,152677,0
2025-06-16,151979,174342,161281,0
2025-06-23,160087,187855,167317,0
2025-06-30,120953,145766,156264,0
2025-07-07,144105,170168,174034,0
2025-07-14,159617,181467,174047,0
2025-07-21,184777,208339,230034,0
2025-07-28,202889,227328,253760,0
2025-08-04,226199,252309,339993,0
2025-08-11,228136,250915,374913,0
2025-08-18,229690,266603,341721,0
2025-08-25,213146,288633,251838,0
2025-09-01,199083,267346,247371,0
2025-09-08,230795,291559,253031,0
2025-09-15,255286,339731,270176,0
2025-09-22,256883,337677,262420,0
2025-09-29,224441,312000,271976,185
2025-10-06,270394,372925,333631,6
2025-10-13,278186,336896,358433,0
2025-10-20,273980,303898,300639,0
2025-10-27,327099,316282,297070,0
2025-11-03,302116,318240,304298,0
2025-11-10,308281,319181,285104,0
2025-11-17,336577,353705,347912,0
2025-11-24,243890,261461,263656,0
2025-12-01,382098,401295,356013,0
2025-12-08,437345,424352,393372,2
2025-12-15,459369,432667,402994,0
2025-12-22,211982,224548,233681,0
2025-12-29,185278,198610,223960,0
2026-01-05,393439,373746,367022,0
2026-01-12,491296,458817,430760,0
2026-01-19,461109,431132,417236,0
2026-01-26,545980,503155,464689,0
2026-02-02,630271,556408,536393,6
2026-02-09,725844,608719,555801,0
2026-02-16,784280,654947,597879,0
2026-02-23,864059,713436,773112,0
2026-03-02,887353,735006,784078,0
2026-03-09,805739,666702,672835,0
2026-03-16,744165,618437,617142,0
2026-03-23,738415,624140,635614,2
2026-03-30,575248,531082,512416,0
2026-04-06,799258,676244,731184,0
2026-04-13,836656,683813,786509,0
2026-04-20,825740,714262,804447,0
2026-04-27,890743,765220,781270,0
2026-05-04,963383,841163,836536,0
2026-05-11,991440,877537,903481,0
2026-05-18,1010903,911551,984414,0
2026-05-25,1021754,919010,928541,0
2026-06-01,1163206,1042552,1098377,20
2026-06-08,1021443,981707,1014668,0
2026-06-15,931127,971956,901188,0
2026-06-22,809008,908298,834980,0
