quarter,period_end,report_date,shares_m_class_a,amount_usd_m,precision,source_url,source_file
22Q1,2022-03-31,2022-05-23,3.5,8.0,approximately,https://investor.agora.io/static-files/80dc7f18-290e-4dc0-8950-79aa4d2fd64a,2022_Q1_First_Quarter_2022_Financial_Results.pdf
22Q2,2022-06-30,2022-08-15,6.3,11.7,approximately,https://investor.agora.io/static-files/35c1eecb-a8ac-41dd-9c11-0c3106aedb64,2022_Q2_Second_Quarter_2022_Financial_Results.pdf
22Q3,2022-09-30,2022-11-21,3.5,3.5,approximately,https://investor.agora.io/static-files/a41538f6-dd1b-4471-b789-fdb58a0cc4ef,2022_Q3_Third_Quarter_2022_Financial_Results.pdf
22Q4,2022-12-31,2023-02-27,22.6,18.6,approximately,https://investor.agora.io/static-files/4466843b-afb6-43bd-a146-038e0f75feee,2022_Q4_Fourth_Quarter_2022_Financial_Results.pdf
23Q1,2023-03-31,2023-05-30,21.6,19.5,approximately,https://investor.agora.io/static-files/38355d76-d6f0-48d9-bcee-5b4e7d73c5d9,2023_Q1_First_Quarter_2023_Financial_Results.pdf
23Q2,2023-06-30,2023-08-21,25.2,20.7,approximately,https://investor.agora.io/static-files/b02b02ba-c926-45d3-8092-ea302eb5e545,2023_Q2_Second_Quarter_2023_Financial_Results.pdf
23Q3,2023-09-30,2023-11-21,17.0,12.3,approximately,https://investor.agora.io/static-files/3f24d94f-70d6-4424-8ff0-72dfd89374b5,2023_Q3_Third_Quarter_2023_Financial_Results.pdf
23Q4,2023-12-31,2024-02-26,14.1,10.0,approximately,https://investor.agora.io/static-files/83590651-2647-4fcc-9697-f5091ec6811d,2023_Q4_Fourth_Quarter_2023_Financial_Results.pdf
24Q1,2024-03-31,2024-05-22,4.8,3.2,approximately,https://investor.agora.io/static-files/dc734c72-0cfd-4915-807b-7c3f45cc00d5,2024_Q1_First_Quarter_2024_Financial_Results.pdf
24Q2,2024-06-30,2024-08-19,3.9,2.4,approximately,https://investor.agora.io/static-files/b65b2447-57a4-4f01-b140-b4092d28c507,2024_Q2_Second_Quarter_2024_Financial_Results.pdf
24Q3,2024-09-30,2024-11-25,6.8,3.9,approximately,https://investor.agora.io/static-files/1cb0ef0f-966c-4e34-a685-a5212849b0aa,2024_Q3_Third_Quarter_2024_Financial_Results.pdf
24Q4,2024-12-31,2025-02-24,1.3,1.4,approximately,https://investor.agora.io/static-files/c5dd1003-07b8-417e-9728-d90595f3ab91,2024_Q4_Fourth_Quarter_2024_Financial_Results.pdf
25Q1,2025-03-31,2025-05-27,1.2,1.2,approximately,https://investor.agora.io/static-files/4309fa60-68df-447e-b08b-9bfe38577079,2025_Q1_First_Quarter_2025_Financial_Results.pdf
25Q2,2025-06-30,2025-08-18,13.1,10.9,approximately,https://investor.agora.io/static-files/ea62fd5e-ab94-45cc-a933-0c5f3ce1fed0,2025_Q2_Second_Quarter_2025_Financial_Results.pdf
25Q3,2025-09-30,2025-11-19,5.2,4.8,approximately,https://investor.agora.io/static-files/8b37d17e-e68f-4bfd-aca5-195662db3a02,2025_Q3_Third_Quarter_2025_Financial_Results.pdf
25Q4,2025-12-31,2026-03-02,12.0,11.1,approximately,https://investor.agora.io/static-files/e210ca2f-1bba-489b-bb13-7638097e6bd5,2025_Q4_Fourth_Quarter_2025_Financial_Results.pdf
26Q1,2026-03-31,2026-05-26,12.5,13.1,approximately,https://investor.agora.io/static-files/6ed4449a-4fa1-4c5e-ba5e-6644bd0d3387,2026_Q1_First_Quarter_2026_Financial_Results.pdf
